level,group,markers
broad,Epithelial,"Slc26a3,Mep1a,Cldn7,Epcam,Gpa33,Cdh1,Vil1,Sema4g,Tmprss2,Slc6a14,Tjp3,Cxadr,Gcnt3,Klf5,Elf3,Dsg2,B4galnt2,Hnf4a,Nlrp6,Ceacam1,Krt18,Abcb1a,Vdr,Cdx1,Krt20"
broad,Immune,"Cd79b,Dock2,Itgb7,Ciita,Il10ra,Cd48,Ptprc,Selplg,Irf4,Itgb2,Ikzf1,Cd53,Cd74,Cd163,Ncf1,Lcp2,Mrc1,Cybb,Csf1r,Lyz1,Cd72,Ccr1,Adgre1,Spi1,Il2rg"
broad,Neural,"Gpr37l1,Sox10,Foxd3,Sostdc1,Grik3,Igsf11,Gfap,Gfra1,Mest,Cdh2,Ptprz1,Abca8b,Gfra2,Adgrg6,S1pr3,Col18a1,Abca8a,Pdgfb,Ncam1,Uchl1,Hand2,Tgfb2,Serpine2,Afap1l2,C4b"
broad,Stroma,"Cnn1,Actg2,Gas1,Acta2,Myh11,Tagln,Hmcn2,Atp2b4,Des,Jph2,Flna,Synpo2,Meis2,Smtn,Tgfb1i1,Ckb,Fn1,Clmp,Tnxb,Tnc,Svil,Enah,Ogn,Col6a3,Itga5"
broad,Vascular,"Egfl7,Mmrn1,Flt4,Sox18,Tie1,Cdh5,Podxl,Shank3,Kdr,Vwf,Ccl21b,Pecam1,Plvap,Flt1,Arhgef15,Adgrf5,Ccl21a,Fabp4,S1pr1,Esam,Lyve1,Tek,She,Ace,Ly6c1"
within:Epithelial,EEC,"Calb2,Tubb3,Elavl4,Uchl1,Mapk8ip2,Sncg,Syn1,Celsr3,Snap25,Kif5a,Gap43,Sv2a,Myt1,Cdk5r2,Stmn2,Dner,Ret,Eno2,Ndn,Chga"
within:Epithelial,Enterocyte,"Slc9a3,Cyp3a13,Slc26a3,Mep1b,Trpm6,Car4,Mep1a,Krt20,Slc40a1,Saa1,Mxd1,Slc6a14,Lgals3,Naip1,Lamb3,Slc25a20,Neu1,Abcb1a,Maoa,Rhoc"
within:Epithelial,Goblet,"Spdef,Rapgef3,Meg3,B3gnt6,Etv5,Ffar2,Muc2,Gpr20,Ccl6,Rap1gap,Atoh1,Kit,Gfi1,Ccl9,Hpd,Nupr1,Wfdc18,Kcnma1,Mmp28,Ern2"
within:Epithelial,Stem-TA,"Espl1,Ncaph,Mki67,Anln,Top2a,Cenpa,Racgap1,Ccna2,Cdc20,Birc5,Knstrn,Aurkb,Cenpf,Hist2h2bb,Kif20a,Nek2,Cdca8,Cit,Bub1b,Ect2"
within:Epithelial,Tuft,"Trpm5,Chat,Dnah5,Spib,Cd300lf,Pou2f3,Gnat3,Alox5,Hck,Avil,Hmx2,Plcb2,Pnpla3,Il17rb,Ltc4s,Ackr4,Pik3cg,Pygl,Inpp5d,Plcg2"
within:Immune,B,"Cd19,Fcmr,Pax5,Ighd,Cr2,Ms4a1,Spib,Blk,Cd22,Tnfrsf13c,Bcl11a,Sell,Cd79b,Cd79a,Ighm,Btla,Ccr6,Trim7,Cd37,H2-DMb2"
within:Immune,DC,"Clec9a,Xcr1,Flt3,Cd209a,Itgae,Tlr3,Naaa,Zbtb46,Dpp4,Havcr2,Il22ra2,Itgax,Pak1,Gm2a,Ccr2,Batf3,Dapk1,Dbn1,Shtn1,Lrrk2"
within:Immune,ILC,"Dscam,Psd2,Rorc,Il23r,Cntn1,Dll1,Cited4,Il18r1,Il7r,Ccr6,Cxcr6,Cxcl13,Ltb,Tcf7,Il2ra,Kit,Il1r1,Cd82,Odc1,Rora"
within:Immune,Mast,"Chrm5,Opalin,Mcpt1,Tpsab1,Ms4a2,Cyp11a1,Mcpt8,H19,Cma1,Gal,Ccr3,Prph,Angpt1,Padi4,Gata2,Itga2b,Slc18a2,Gfra3,Calb2,Alox15"
within:Immune,Myeloid,"Siglec1,Mrc1,Cd163,Ms4a7,Apoe,C3ar1,Dab2,Folr2,Csf1r,Adgre1,C5ar1,Timd4,F13a1,Lyve1,P2ry13,Cx3cr1,Cd33,Cmklr1,Lgmn,Fcrls"
within:Immune,Neutrophil,"Grxcr2,Tlx3,Krt76,Prdm13,Gata1,Cxcr2,Nlrp12,Alk,Pax3,Adcyap1,Col26a1,Tex101,Pcdh11x,Il1rapl2,Alox12e,Dsg1b,Nrcam,Hoxc11,Casr,Pou4f1"
within:Immune,Plasma,"Jchain,Igha,Igkc,Mzb1,Bhlha15,Tnfrsf17,Ly6c2,Ccr10,Sdc1,Cacna1h,Tent5c,Cacna1s,Xbp1,Pou2af1,Irf4,Ly6c1,Kcnn4,Cd28,Tigit,Adgrl2"
